VideoId,keyWords,type,length,heat,rating
574,"7,64,24,6",6.0,3,92.87,3.46
109,"23,72",3.0,1,64.77,3.46
2415,"60,79,73",1.0,1,91.32,3.46
3726,"7,64,8,47,75",1.0,1,102.15,3.46
2688,"5,65,57,6",6.0,6,64.1,3.46
2260,"5,64,33",5.0,1,79.09,3.46
1400,45,6.0,3,98.81,3.46
1109,"5,73,80",6.0,6,65.26,3.46
852,"7,8,47,70,1,73",4.0,1,102.17,3.455
1509,"5,37,47",5.0,1,99.52,3.455
3986,"5,64,33,73,6",4.0,1,99.31,3.455
2794,"19,8,30,41",6.0,5,104.64,3.455
2696,"19,75,6,80",1.0,1,66.06,3.455
1597,5,4.0,2,69.58,3.455
1207,"19,66,12,30",6.0,3,101.22,3.455
3205,"5,64",4.0,1,97.48,3.455
3354,"5,64,15,47,1",5.0,1,86.36,3.455
1336,"19,51,30,62",5.0,1,89.64,3.455
2518,"5,37,64,47",6.0,10,105.99,3.455
2873,"19,30,62,59",5.0,1,91.51,3.455
1361,"19,75",1.0,1,90.2,3.455
2167,45,2.0,1,62.87,3.455
3389,"19,62",4.0,1,87.23,3.455
2553,"19,62,6,9",6.0,3,102.49,3.455
3317,"7,8,73",5.0,1,80.7,3.455
2954,"81,21",3.0,1,92.19,3.455
2217,"5,37,61,73,6",6.0,7,79.79,3.45
767,"7,64,75,73,6",5.0,1,67.58,3.45
2128,"19,41",6.0,3,105.17,3.45
2246,"5,8,33,73,6",4.0,2,94.42,3.45
3595,45,6.0,11,79.5,3.45
1428,"5,64,8,33,78,73,6,80",1.0,1,97.36,3.45
1442,"5,64,15,47,1",6.0,3,109.21,3.45
59,"7,64,9",6.0,11,93.9,3.45
3271,"19,47,12,1,30,62,22",4.0,1,98.41,3.45
973,"23,73,80",6.0,3,81.6,3.45
3747,"19,66,12,30,21",6.0,3,110.34,3.445
3200,"5,47,1,59",6.0,10,94.72,3.445
952,"7,64,47,73,6",1.0,1,115.28,3.445
1167,"5,37,73,6,10",6.0,3,84.12,3.445
2473,"5,64,6,9",5.0,1,88.31,3.445
1248,"19,66,12,1,30",5.0,1,91.37,3.445
1149,"5,33,61,80",4.0,4,92.5,3.445
2033,"5,64,66",5.0,1,81.69,3.445
1911,"19,62,41",5.0,1,84.5,3.445
1638,"13,72,6",4.0,1,103.97,3.445
1367,"19,12,30",6.0,3,118.85,3.445
2675,19,6.0,10,85.7,3.445
228,"7,64,73,6",4.0,1,94.33,3.445
2235,"19,66,12,73,6,21",1.0,1,114.25,3.445
1666,"5,61,73",1.0,1,83.06,3.445
198,"19,41",5.0,1,84.79,3.445
3214,"5,6,9",1.0,1,82.46,3.44
2084,"19,66,75,62,6,41",1.0,1,73.19,3.44
624,"5,37,47,1",5.0,3,90.05,3.44
2218,"5,37,64,47,62,73,6",6.0,8,101.34,3.44
2830,"5,37,8,33,73",6.0,5,115.8,3.44
3042,"19,66,47,1",5.0,2,103.13,3.44
2178,"5,37,47,65,57",6.0,3,109.9,3.44
2635,"19,66,30,62,6",6.0,3,120.83,3.44
3206,"19,8,66,12,30",6.0,3,115.07,3.44
213,"7,64,66,12,51,30",4.0,1,99.84,3.44
3929,"19,6,9",6.0,3,97.73,3.44
153,"19,66,12,30,73",6.0,3,121.26,3.435
1278,"19,47",5.0,2,89.74,3.435
1362,"28,21",4.0,1,78.24,3.435
384,"5,15,47,1,21",5.0,1,81.45,3.44
251,"5,8,73,80",1.0,1,80.19,3.435
1583,"19,6,21",6.0,3,83.11,3.435
2111,"5,37,8,33,73,6,80",6.0,11,81.8,3.435
872,"19,16",6.0,8,78.18,3.435
3299,19,5.0,2,95.3,3.435
966,"60,30,73",5.0,1,87.35,3.435
1382,"19,8,66,30,62",6.0,3,109.79,3.435
2838,"5,37,33,73,6",6.0,11,73.36,3.435
130,"23,65",5.0,1,63.46,3.43
1819,"5,47,61,73",5.0,1,72.68,3.43
934,"19,75",6.0,11,66.84,3.43
1613,"26,62,59",5.0,1,100.52,3.43
1808,"5,64,66,73",1.0,1,86.09,3.43
1949,"19,33,6,80",6.0,10,66.39,3.43
3615,"19,59",5.0,11,75.56,3.43
2493,81,6.0,10,70.17,3.43
2409,19,4.0,1,100.48,3.43
430,"7,75,6",4.0,1,64.04,3.425
3441,"23,59,9",6.0,21,87.14,3.425
757,"19,30,62,22,41",4.0,1,117.94,3.425
1290,"5,33,73,6",6.0,8,79.68,3.425
3687,"81,9",6.0,5,80.14,3.425
2977,2,6.0,11,69.9,3.425
2379,"19,47,73",6.0,4,99.74,3.425
3094,"5,37,64,66,79,73",4.0,2,78.0,3.425
3873,"19,30,73",6.0,3,106.44,3.425
1602,"19,41",6.0,6,88.71,3.43
3036,"23,30,62",5.0,1,86.7,3.425
3143,"19,65,30,73,6",4.0,1,89.79,3.425
2683,"23,30,62",5.0,1,88.35,3.425
1886,"19,6",1.0,1,60.74,3.425
2962,"7,47,59",6.0,6,69.29,3.425
3025,"5,6,9",6.0,3,73.86,3.425
2837,"5,62,73,10",1.0,1,87.86,3.425
2592,"19,62,22,41",4.0,1,78.93,3.425
9,"5,64,57,62,6",1.0,1,74.09,3.425
1836,"7,8,33,73",1.0,1,83.64,3.425
958,"5,37,33",6.0,6,80.15,3.425
779,"5,64,15,57,6",5.0,1,89.71,3.425
1744,"3,51,30,22",6.0,3,109.59,3.42
918,"19,15,66,47,30,22",4.0,1,105.33,3.415
493,"74,6",6.0,11,76.52,3.42
2305,"5,37,75",6.0,11,58.33,3.42
1785,45,1.0,1,64.79,3.41
3686,"7,15,10,21",6.0,10,67.32,3.42
1144,"5,64,47,62,6",6.0,6,69.37,3.42
